index,review,true_label,predicted_label,confidence,prob_negative,prob_positive,Noise Narrator 1,Noise Narrator 2,XOR,Final Decision
10423,“فندق لايستحق 5 نجوم”. السرير مريح. الموكيت متهالكروائح كريهه في الممرات حجم الغرفه لايوازي المبلغ المدفوع,Positive,Negative,0.999866486,0.999866486,0.000133478,TRUE,TRUE,TRUE,TRUE
6290,“سيء لسبب واحد”. . يوجد صراصير داخل دوره المياه !!المفارش غير نظيفه,Positive,Negative,0.99971658,0.99971658,0.000283412,TRUE,TRUE,TRUE,TRUE
5000,“يجب ان تنتقل يطلباتك معاك”. الموقع والشاطي جيد. بعد المكان كانك مسافر الي مدينه اخري ولست بجده لا يرقي لخمسه نجوم الغرف بعيده عن المصعد لايوجد بالغرفه ثلاجه اغراضك تضعها علي الطاوله لا يوجد سخان ولاماء ولاشاهي اوقهوه اومنيوللطلبات يعدمك الجوع والعطش,Positive,Negative,0.999552429,0.999552429,0.000447527,TRUE,TRUE,TRUE,TRUE
9649,“فقط السعر مناسب”. مريح وهادئ وموقع جيد لكن لاخدمات به وخاصه العمال قليل والغرف كثيرهوالاستقبال لايرد ع الاتصال نهائيا. الاستقبالزلايتعاون ولايرد ع الاتصال ولايوجد خدم للغرف,Positive,Negative,0.999361575,0.999361575,0.000638475,TRUE,TRUE,TRUE,TRUE
9341,"“الميزه الوحيده الجيده خدمه الباص للنقل للحرم.”. طاقم العمل بشوش، خدمه نقل الباص للحرم جيده.. النظافه للاسره والملاحف غير نظيفه ، خدمه الغرف غير جيده ، الافطار كل يوم نفس الاكل غير متنوع ، السعر مرتفع للغداء بالنسبه فقط لاربع اصناف من الاكل ، المواقف سيئه وغير مرتبه.",Positive,Negative,0.999334276,0.999334276,0.000665697,TRUE,FALSE,FALSE,'Not Sure'
9350,“للاسف”. استقبال جيد. الاسعار لاتتطابق مع ماهو معروض بالموقع بسبب اضافه الظريبه بمبلغ مرتفع والافطار اقل من مضعيف مقابل مبلغ مرتفع ولاتستطيع استرجاعه منهم لبقيه الايام.,Positive,Negative,0.999057472,0.999057472,0.000942534,TRUE,TRUE,TRUE,TRUE
4426,“التراجع بعد التقدم نتيجه جروبات الفقراء واصحاب البيئات الفقيره وغير النظيفه”. فريق الاستقبالالاستاذ علي بخش فريق العلاقات. همجيه الناس في المطعم نقص واهمال نتيجه تدني المستوي والحرمان الواضح في كثير من النزلاء فريق الصيانه لا يوجد حمام خمس نجوم بل خالي من كل شيء يميزه,Positive,Negative,0.998993695,0.998993695,0.001006317,TRUE,TRUE,TRUE,TRUE
4687,“مابوه شي”. محلوي.,Positive,Negative,0.998987615,0.998987615,0.001012313,FALSE,FALSE,TRUE,FALSE
6108,“عمران”. الموقع جيد جدا.. طاقم العمل مقبول .. الخدمات ضعيفه.. اﻷكل جيد. الخدمات... ضعيفه..,Positive,Negative,0.998277426,0.998277426,0.001722536,TRUE,FALSE,FALSE,'Not Sure'
711,“فندق مهضوم حقه”. - موقع الفندق وبوفيه الغذاء والافطار .- بوفيه العشاء بمكان جميل ورائع تحذوه الخضره من جميع جوانبه .- مسبحه المطل علي مكان البوفيه .- يوجد ايضا بروجكتر كبير جدا اثناء العشاء ووقت السباحه .- استايل الفندق خرافي من الداجل .- هدوئه الاكثر من رائع .- جلساته ال. - ضعف النت داخل الغرف وكنت بالطابق الثالث .- الخدمه جميله لكنها بطيئه .- شكل الفندق من الخارج لا يوصف جماله من الداخل .,Positive,Negative,0.998199284,0.998199284,0.001800687,FALSE,FALSE,TRUE,FALSE
2805,“عدم الثقه”. الموقع. حجزت وواعدوني بئشياء ومن ضمنها السياره الفارهه وطلعه في الاحلام هههههههه,Positive,Negative,0.998107791,0.998107791,0.001892213,TRUE,TRUE,TRUE,TRUE
2439,"“مايستاهل”. الموقع قريب من اماكن مهمه.. تقل الفخامه حتي تصل للغرفه. الغرفه حجمها متوسط الي صغير ولا يوجد فيها متسع ولا جلسه كنب. تشعرك بالكتمه، التحكم بدرجه التكييف سيء وصعب، تصميم الغرفه سيء جدا",Positive,Negative,0.998060405,0.998060405,0.001939611,TRUE,TRUE,TRUE,TRUE
3182,“رحله عمل”. لا شي وذالك بسبب الاقامه لمده نصف يوم. الواي فاي غير جيدالاستقبال كان غير جيد وسبب كثره التدخين,Positive,Negative,0.998023033,0.998023033,0.00197695,TRUE,FALSE,FALSE,'Not Sure'
9029,“واحد يخرب علي الكل”. . الشخص اللي كان في الاستقبال وقت الشيك ان لم يكن متعاون وليس لديه اسلوب في التعامل واما باقي طاقم العمل ممتاز,Positive,Negative,0.99780196,0.99780196,0.002198017,TRUE,FALSE,FALSE,'Not Sure'
10479,"“مقبول”. . الاجراءات فيها تاخير ولاتوجد خدمات ومطاعم قريبهوتوزيع الغرف بالادوار ، كانها غرف بشقق",Positive,Negative,0.997743368,0.997743368,0.002256635,TRUE,TRUE,TRUE,TRUE
8371,“الفندق عادي جدا”. لا شي. اول شي الديسكو مزعج يوصل الصوت لي الغرف ثاني شي كان التلفزون خربان ولا فيه قنوات غير الاخباريه و لما دخلت الغرفه كانت غير مجهزه للاسف,Positive,Negative,0.997690558,0.997690558,0.002309432,TRUE,TRUE,TRUE,TRUE
8429,“العمره اهم”. قربه من الحرم. عدم وجود اي خدمات في الغرفه لا ادوات غسيل ولا مناشف ولا صابون,Positive,Negative,0.997663498,0.997663498,0.002336543,TRUE,FALSE,FALSE,'Not Sure'
4999,“تجربه لن تتكرر”. السماح ب late check out. لا يتوفر سوبرماركت او صيدليه او اي مطعم بالقرب من الفندقتم سحب مبلغ التامين و لم يسترد حتي شهر من تاريخ الزياره,Positive,Negative,0.997658372,0.997658372,0.0023416,TRUE,TRUE,TRUE,TRUE
8009,"“؟؟؟ سعر الغرفه شامل مع الضريبه”. . سعر الغرفه الموجود 166 ذرهم علي البوكنج , بعد ماذهبت للفنذق , اخبروني بان ادفع210ذرهمالضريبه (10%) غير مشمولهرسوم الخدمه (10%) غير مشمولهضريبه المدينه (AED 10 في الليله الواحده) غير مشموله , المفروض توضيح المبلغ وافادتي قبل الحجز بسعر الغرفه شامل قبل الحجز .في ذلك الضريبه (10%) غير مشمولهرسوم الخدمه (10%) غير مشمولهضريبه المدينه (AED 10 في الليله الواحده) غير مشموله ارجو النظر الضريبه (10%) غير مشمولهرسوم الخدمه (10%) غير مشمولهضريبه المدينه (AED 10 في الليله الواحده) غير مشموله ارجو النظر في ذلك وشكراااا",Positive,Negative,0.99752897,0.99752897,0.002471008,TRUE,FALSE,FALSE,'Not Sure'
10366,“لا انصح بالسكن بهذا الفندق”. قريب من المسجد والنظافه والراحه. 1/ عدم وجود سيارات الاجره امام الفندق2/ السعر مرتفع جدا بالنسبه لموقع الفندق البعيد عن كل الخدمات,Positive,Negative,0.997474611,0.997474611,0.002525408,TRUE,TRUE,TRUE,TRUE
8098,“فندق عادي جدا بس غالي مادري ليش !!”. ﻻ يوجد شي مميز .. فندق عادي جدا بس مبالغين بالسعر .!!. لم يعجبني السعر مقابل الغرف.شقق عاديه جدا اثاث عادي جدا.سعر مرتفع بالرغم من موقع اصلاحات .,Positive,Negative,0.997384608,0.997384608,0.002615446,TRUE,TRUE,TRUE,TRUE
810,“تجربه سيئه”. قربه من الجي بي ار. الاستقبال بطيء ويوجد موضف مصري في المسبح طلبت منه شيشه مع لي طبي طلب من بخشيش يقول قيمت لي الشيشه الطبي 25 درهم وعندما طلبت فاتوره قال هذا بدون فاتوره,Positive,Negative,0.997164309,0.997164309,0.002835667,TRUE,TRUE,TRUE,TRUE
6061,“قليل التكلفه موقع مميز”. الموقع فقط. عدم وجود حذاء لدوره المياه عدم وجود سخان ماء لعمل المشروبات في الغرفه غالي قيمه المشروبات في الفندق عدم وجود سفتي في الغرفه الاثاث قديم الغرفه التي تم اعطت لي للمدخنين علما بانه عند الحجز طالبت غرفه لغير المدخنين الاثاث قديم,Positive,Negative,0.997156382,0.997156382,0.002843576,TRUE,FALSE,FALSE,'Not Sure'
6463,“لاكن انصح بالفندق”. . ازعاج من المباني المجاوره كذالك التعامل في دفع المبالغ الماليه يحاسبونك اول باول كانك بتهرب من الفندق,Positive,Negative,0.996671557,0.996671557,0.003328417,FALSE,FALSE,TRUE,FALSE
8342,"“ليس من عادتهم”. اعجبني سرعه المصاعد، و وسع الغرفه مع تعدد دورات المياه ففي الغرفه حمامين و مغسله خارجيه (غير مغسله المطيبخ ). هذه ثالث مره اسكن في الفندق، هذه المره كان التعامل غير جيد اذ ان الاستقبال كانهم جدد فتعاملهم وسط حدددا، يسمحون للعامل يطرق الباب يوميا فاذا لم يجد اجابه يفتح عليك الباب ليتاكد ان الشقه مسكونه و انك "" ما انحشت"" و هذه صارت لي مرتين وقت الضحي او الظهر و الاهل نايمين في رمضان يوم هزات الاستقبال يقول اخاف يروح المستاجر و لا يدفع ثم انا اتحملها "" منطق سيء للغايه "" يعني يمديه يتصل بالتلفون و يتاكد او يطلب الايجار قبل اادخول و بس .كذلك الاستقبال ما فيه الا تلفون واحد يعني يبي لك ربع ساعه حتي يرد عليك الموظف اما العامل فيتاخر جدا حتي يصل لعندك .هذا ما لم يعجبني في الفندق علما ان هذا الكلام في رمضان فقد يكون ما سبق بسبب الضغط .لكن جمله الفندق يتميز جدددا بوسع الغرف و تعدد دورات المياه",Positive,Negative,0.996667922,0.996667922,0.003332054,TRUE,FALSE,FALSE,'Not Sure'
1488,“جيد”. الموقع فقط. الغرفه من الطراز القديم لايوجد واي فاي بالغرف مجانا,Positive,Negative,0.996464968,0.996464968,0.003534977,FALSE,FALSE,TRUE,FALSE
