text,true_label,predicted_label,probability,confidence
“الفندق جيدجدا وقريب جدا من الحرم النبوي”. . التكييف بالغرفه غبر جيد,0,1,0.9823780655860901,High
“الفندق جميل جدا”. كل شي. عدم وجود مواقف السيارات,0,1,0.9925647974014282,High
“ممتازه”. ممتاز. يرجي زياده موظفي الاستقبال,0,1,0.9886444807052612,High
“الفندق جميل جدا. ..الخدمه. .الموظفين. .فوق الممتاز”. الفندق ممتاذ جدا.,0,1,0.9988269209861755,High
“الراحه النفسيه”. تعامل طاقم العمل الراقي. مواقف السيارات,0,1,0.9857054948806763,High
“كويس علي سعره لكن بعيد”. السعرالنت مقبولالمسبح والعاب الاطفالسعه الشقهكل غرفه حمام سوبر ماركت وصيدليه ومطعم تحت الفندقالمواقفالاطلالهالبلكونه. الموظفينالمناشفادوات الحمامالدش - الشاورالسرير مقبول وجيد مقابل السعر,0,1,0.9847958087921143,High
“افضل فندق بالوقت الحالي”. . عدو وجود بعض المواد الاستهلاكيه منظف الاذان,0,1,0.9816805124282837,High
“مكان ممتع لجميع افراد الاسره”. حسن الاستقبال وهدوء المكان.. الشاليهات لا يوجد بها ادوات مطبخ وتحتاج الي صيانه دوريه.,0,1,0.9862610697746277,High
“السعر غالي”. موقع الفندق وفخامته. استخدام مصعديين للوصول لغرفتي,0,1,0.9843379855155945,High
“ليس فندق 5 نجوم”. توفر التاكسي للمطار..طاقم العمل جيد.توفر عدد من المصاعد.. لا يوجد كما في فنادق 5 نجوم من شاي وقهوه واكواب في الغرفه و مستلزمات الحمام غير كامله مثل معجون اسنان وفرشاه اسنان ونعال للحمام وغيره كما في فنادق 5 نجوم ؟؟؟يوجد باب مشترك لغرفتي كنت اسمع بعض الازعاج وحركات صوتيه من خلاله.,0,1,0.9765681624412537,High
“ممتعه”. فريق العمل متعاون جدا المنظر رائعتجهيزات الغرفه جدا ممتازه. خزانات الملابس تبع المسبح كانت جميعها مقلقه وتم اخباري بتسليمها لمشتركي الجيم مما يعني لامكان لوضع ملابسنا اثناء السباحه,0,1,0.9924052357673645,High
“حياه ريجينسي اسلوب حياه”. كان العشاء جميلا وكان الشيف نوبي ذو حبره عاليه في اعداد الطعام وكذلك الاستاذ محمد كرزازي متفاهم ومنفني جدا في تسيهيل العقبات فلهم كل الشكر حيث سهل. فقط اعطاء الضيف امكانيه تحويل نوع الوجبه الممنوحه له سواء من افطار الي عشاء اوغداء,0,1,0.9859134554862976,High
“شقق فندقيه”. شقق فندقيه يوجد كوفي خارجي تابع للشقق كما يوجد بجوار ها اسواق المزرعه يعتبر السكن بها معقول عزل الصوت ملاحظه مهمه لا يوجد بها عزل الصوت عند مروري بالشقق المجاوره تسمع الاصوات بوضوح ل. لا يوجد بها مناشف ولا صابون,0,1,0.9409354329109192,High
“فطور لا ينسي(:”. ١/ افطار الفندق كان رائع جدا جدا وهو عباره عن اكثر من بوفيه ومتنوع جدا وافضل من الفنادق المحيطه به كالفيرومنت٢/ وجود اله صنع القهوه بالغرفه. ١/ لايوجد مصلي خاص بالفندق بل عام لكل الوقف ٢/ لاتتوفر مواقف كافيه للسيارات,0,1,0.9857172966003418,High
“جميله نوعا ما”. الخصوصيه. نرجو الاهتمام بوسائل الترفيه في الشاطي الخاص بالنسبه للاطفالوالاهتمام بنظافه الشاطئ فذلك لايكلف سوي جهد بسيطوالاهتمام بتجديد الاثاث وتوفير وسائل راحه اكثر,0,1,0.9814520478248596,High
“ممتازه”. فندق ممتاز موقع ممتاز كذلك كل شي يدعوك للحجز في هذا الفندق ،،، مع الشكر.,0,1,0.998532772064209,High
“استضفت اصدقاء اعجبهم الفندق”. . الغرف. ضيقه غير مطله,0,1,0.9187068939208984,High
“شكرا دلف”. القيمه الماليه للفندق جيده وقربه من الخدمات مثل السوبر ماركت وايضا الصيدله والمطاعم. عدم الاهتمام في النزيل الواي ضعيف جدا النظافه ليس ولا بد,0,1,0.9842096567153931,High
