text,true_label,predicted_label,probability,confidence
“موظفي الاستقبال”. الافطار. لم اري اسوا من موظفي استقبالهم في اي فندق,1,0,0.7962938547134399,Medium
“فندق اقل ما يمكن ان يقال فيه انه يستاهل 5 نجوم وليس 4 نجوم”. حجزنا ثلاث غرف ثلاث عائلات كانت الاقامه رائعه ومريحه جدا.,1,0,0.8015817999839783,High
“الغرفه ضيقه”. . عدم وجود مساحه كافيه في الغرفه بختصار الغرفه ضيقه,1,0,0.9890092015266418,High
“فهد ابراهيم”. لا شيء. الانترنت سيء جدا,1,0,0.9933239817619324,High
“السعر غالي”. . السعو,1,0,0.9592933654785156,High
“يجب تغيير طاقم الاستقبال”. اعجبني الموقع. لم يعجبني معامله موظفي الاستقبال خلال تسجيل الدخول والخروج,1,0,0.9890163540840149,High
“الموقع فقط”. موقعه بجانب الحرم وقريب لمدخل النساءوالواي فاي مجاني. المواقف ليست مجانيه و المصاعد وقت الصلاه تاخذ وقت طويل حتي تركب فيها من كثره الزحام السعر في وقت الزحام غالي وجرس الحريق يشتغل في اوقات تزعجك من نومك بدون اي سبب,1,0,0.9709534645080566,High
“مواقفها خايسه وكثير علقو بوسطها وانا منهم وبصعوبه طلعت”. . مواقفها وفرض رسوم غير الاجار لسياره,1,0,0.9952148199081421,High
“تجربه سيئه”. قربه من الجي بي ار. الاستقبال بطيء ويوجد موضف مصري في المسبح طلبت منه شيشه مع لي طبي طلب من بخشيش يقول قيمت لي الشيشه الطبي 25 درهم وعندما طلبت فاتوره قال هذا بدون فاتوره,1,0,0.9956074357032776,High
“يحب فلوس التامين و عدم اعادتها”. . سحب مال التامين و عدم اعادتها,1,0,0.9554023146629333,High
“فندق بدون انترنت نهائيا”. افطار منوع. عند وصولنا في ليله الحجز اخبرونا في الاستقبال ان خدمه الانترنت قد انتهي وقت استخدامها وتم اغلاقها. و اني اذا كنت محتاج للانترنت فيمكنني الذهاب للمقهي المجاور.. امر غريب جدا,1,0,0.9826394319534302,High
“ينبغي احترام شروط بوكنق”. الموقع وتعامل الموظفين ممتاز وكذلك نظافه الشقق ،،،،واتمني وضع قفل داخلي يمنع الاطفال من فتح باب الشقه (سلسله مثل الفنادق او مزلاج ). بعد الوصول في وقت متاخر للفندق تفاجات بان الشقه قد تم تاجيرها لغيري بعذر انني تاخرت عن الحضور مع العلم بانه تم الاتصال علي الفندق مسبقا واخبارهم باني سوف اتاخر وتم عرض شقه اصغر من المطلوبه مع غرفه مستقله بنفس السعر ورفضت العرض ثم تم عرض شقه اكبر من المطلوبه ودفع الفرق وهو ضعف سعر الحجز ولكني رفضت وتمسكت بالشقه التي حجزت او تعويضي بشقه اكبر بنفس السعر لان حجزي مؤكد والخطاء من الفندق حتي تم ماطلبت واعطائي الشقه الاكبر بنفس السعر .ملاحظتي بانه ينبغي للفنادق التي تشترك في بوكنق احترام العملاء وتطبيق ماورد في الموقع لانناجميعانثق في هذا الموقع ولانريد من بعض الفنادق محو هذه الثقه التي حرص موقع بوكنق غرسها في عملاءه لسنوات .شاكرا لاداره الفندق استجابتهم ونامل عدم تكرار ذلك مستقبلا او الخروج من بوكنق اذا لم يتقيدو بشروطه .ودمتم بود,1,0,0.9228856563568115,High
“حامض حلو”. الفندق جديد وموقعه جيد. بركه السباحه صغيره ورديئه جدا الماء وسخ جدا جدا لهذا لن نستخدم المسبح ولن نستمتع برياضه السباحه,1,0,0.754112958908081,Medium
“الفندق طيب بالنسبه للسعر”. . لا يوجود بالحمام اي شي والتكيف سبيلت مو مركزي,1,0,0.9903936982154846,High
“اخلاقهم عاليه تفتح نفسك للايجار”. . عدم وجود بلاك اوت للنوافذ، والازعاج من السيارات,1,0,0.9936354160308838,High
“النظافه”. اعجبتني النظافه في المنتجع. اللذي لم يعجبني هو عدم وجود بقاله او ماركت ، وايضا لم يعجبني الشاطي فالسباحه فيه سيئه لانه ليس نظيف ولم يهيء للسباحه اصلا فهناك الطحالب والاحجار والكثير منها ايضا ..,1,0,0.8942802548408508,High
“مقبول نوعا ما”. الاطلاله. الافطار سيء جدا,1,0,0.9217632412910461,High
“يحتاج تجديد”. الوصول للفندق صعب ويضيع شوي. الاكل في مطعم البويه. غالي مقابل لجوده الاكل والتنوع,1,0,0.9834365844726562,High
“جيد”. الموقع فقط. الغرفه من الطراز القديم لايوجد واي فاي بالغرف مجانا,1,0,0.931056559085846,High
“8”. موقعه جميل لمن معه سيارته يذهب من اي مفترق الطرق وايضا النظافه لا باس بها مقبول كاربع نجوم ورخيص جناح 2400 ريال اربع ليالي وبالاجازه من غير فطور. البار سيئ مزعج نوعا ماء اخر الليل باللوبي تسمع ازعاجه لكن بالغرف هدوء,1,0,0.6176038384437561,Medium
“طاقم الاستقبال”. نظافه ومواقف لسياراه والهدوء. الاستقبال للمره الثانيه انزل في هذا الفندق ويتم تاخيرنا اكثر من ساعتان,1,0,0.7934749722480774,Medium
“طرشت الملح”. دخول الفندق سريع. تاخير في وصول السياره والسعر مبالغ فيه,1,0,0.9802982211112976,High
“الغرفه والحمام ضيقه جدا”. موقعه وسعره. حجم الغرفه والحمام لا يتناسق مع ثلاثه نجوم,1,0,0.7770442366600037,Medium
“فندق موقعه غلط”. الوايفاي مجانا بالغرف. موقع الفندق بعيد لازم تمشي مسافات بعيده لكل شي,1,0,0.9808711409568787,High
“النظافه”. النظافه.,1,0,0.9786312580108643,High
"“You can say it is good”. Location is good. It takes 5 minutes walking to al Haram. It is clean and bathroom is acceptable.الموقع جيد. فقط 5 دقائق مشيا علي الاقدام للوصول الي الحرم.الفندق نظيف والحمام جيد.. Breakfast is not delicious. Air condition was not working properly, maintenance team needs so many calls to answer your request.You have to ask for a room cleaning, otherwise , your room will never be cleaned الافطار ليس لذيذاالمكيف لم يكن يبرد بشكل جيد.عمال الصيانه لا يستجيبو من اول مكالمه , وبعدما اتو لم يحلو المشكله.يجب ان تطلب تنظيف الغرف بنفسك والا سوف لن يتم تنظيف غرفتك.",1,0,0.9552008509635925,High
“متوسط”. الغرفه جيده الفطور كان ممتاز. توجد روايح عفنه في الممر طول مسافه الممر للغرفه الحمام وانتم بكرامه لا يوجد بها شطاف,1,0,0.9624003767967224,High
“جيده لكن لن اكررها”. نظافه الفندق وتصميم الغرفه. في اللوبي بار مكشوف والاصوات الموسيقي عاليه لايصلح للعوائل الخليجيه المحافظه,1,0,0.9893968105316162,High
“مناسب للاسر”. الخدمه نظافه الغرف. لا يوجد,1,0,0.9842805862426758,High
“اعجبني ولكن...”. القرب من المسجد النبوي. موظف الاستقبال. نظافه الفندق والغرف.. المواقف غير كافيه في وقت الذروه مع صعوبه المواقف خارج الفندق وهذا تسبب لي في مخالفه مروريه . طلبت قناه رياضيه مفتوحه نظرا لبثها مباراه هامه ولكن قوبل الطلب بتعنت شديد وقله زوق في الردود مما اثار غضبي الشديد. غلايه المياه كانت سيئه جدا وطلبت تغيرها ولكن تم استبدالها بواحده اخري لا تعمل من الاساس. عدم وجود عازل بين الغرف وهذا سبب ازعاج كبير.,1,0,0.9480530023574829,High
“اتقدم بالشكر الجزيل لمديره الفندق مدام رانيه حيث انها ساعدتني بالسكن بعد ان تم الغاء حجزي من الفندق”. . لم يعجبني المشرف المناوب السيد رحاب والذي الغي حجزي قبل وصولي ولم يحاول مساعدتي بالفندق وارسلني لفندق اخر بضعف السعر ولم يوفر لي سكن اليوم التالي لذلك ادين بالفضل بعد الله لمدام رانيه التي بذلت جهدها في توفير سكن بالفندقللمعلوميه لم يتم ابلاغي بالغاء الحجز,1,0,0.9719247817993164,High
“وداعا يا بوكينق في السعوديه”. اعجبني حسن استقبال الشاب السعودي عيدالرحمن وتنوع المطاعم والمقاهي والهدوء .. سرعه رد الخدمات الهاتفيه. تصريف ماء المروش يخرج للممر ويغرق الغرفه .. كانك في شقق مفروشه مبتدئه ولست في فندق خمس نجوم .. اضطريت اخلع الجوارب للدخول والخروج من دووه المياه .. كذلك كثره بطاقات الشنط عند طلب التشيك اوت لم افهمها وفي الاخير انا الي حملت شنطي بنفسي .. كذلك ضعف استخدام العاملين للغه العربيه فتضطر للحديث معهم بالانجليزيه رغم عدم اجادتي التامه لها مما ينتج عنه ضعف الخدمه وتاخرها علي سبيل المثال المقهي الارضي يشترط حد ادني 100 ريال للفرد باستثناء النزلاء ورغم انني نزيل لم يتم استثنائي .. كذلك هناك تباين في اسعار البوكينق والاستقبال حيث خدعني البوكينق وحجزت من طريقه بالف واربعمائه ريال دون افطار مجاني وعند الحضور للفندق وجدت الناس تحجز بالف ومائتا ريال مع افطار مجاني .. وداعا للبوكينق في السعوديه,1,0,0.979430615901947,High
“مو مثل مااتوقعت”. لم تعجبني قوانين الفندق نحجز غرفه لشخصين بالغين مع طفلين مع فطور بس الفطور يكون للكبار والاطفال ندفع لهم..,1,0,0.9931166172027588,High
“مايستاهل”. الموقع قريب من اماكن مهمه.. تقل الفخامه حتي تصل للغرفه. الغرفه حجمها متوسط الي صغير ولا يوجد فيها متسع ولا جلسه كنب. تشعرك بالكتمه، التحكم بدرجه التكييف سيء وصعب، تصميم الغرفه سيء جدا,1,0,0.992417573928833,High
“عدم الثقه”. الموقع. حجزت وواعدوني بئشياء ومن ضمنها السياره الفارهه وطلعه في الاحلام هههههههه,1,0,0.9892097115516663,High
“المطففين”. . سوء الاستقبال عدم توفير كثير من الخدمات المطلوبه السعر كان اعلا من كثير من النزلاء الاخرين بفارق يصل الي اكثر من 300 ريال,1,0,0.9939416646957397,High
“ابواحمد”. القرب من الحرم . حسن التعامل. مساحه الغرف جيده. الواي فاي فقط في البهو وايضا سيئه ولا يوجد واي فاي بالغرفالمواقف مشكله كبيره فلا يوجد موقف خاص بالفندق,1,0,0.8893503546714783,High
“جيد”. الموقع. الوسائد غير مريحهازعاج (النوافذ بدون عازل للصوت)الافطار ضعيف ومكرر وغير متنوع,1,0,0.6355835199356079,Medium
“كنت هناك”. جون اافريقي صعب التعاامل في الفتره المسائيه المفروض صباحي الشفت تبعو عشان الناس تشوفو. عدم احترام الزوار والدخول,1,0,0.9910003542900085,High
“السعر مرتفع”. . السعر لا يتناسب مع الفئه,1,0,0.8763233423233032,High
“اسعار مبالغ فيها”. الهدوء والنظافه. بصراحه السعر مبالغ فيهايضا جميع الخدمات سعرها مرتفع جدا خصوصا خدمه الغرف,1,0,0.91826993227005,High
“مشكله واحده”. مشكله واحده عكرت عيد زواجي. الاستقبال كان سئ .. حيث انني حجزت قبل 3 ايام .. ووصلت عصرا وبقيت الي الساعه 5 بانتظار تجهيز الغرفه .. وتم طلب خروجي في اليوم الثاني عند الواحده ظهرا .. اتمني تعويضي بشي مميز يرضي اعجابي بكم .. او ساقوم بتغيير وجهتي مستقبلا,1,0,0.9576088786125183,High
“رحله عمل”. لا شي وذالك بسبب الاقامه لمده نصف يوم. الواي فاي غير جيدالاستقبال كان غير جيد وسبب كثره التدخين,1,0,0.9850292801856995,High
“جيد لرحله العمل ، فقط للنوم”. الواي فاي سريع. غرف ضيقه وحمام اضيق لا يوجد فيه ادوات تنظيف.,1,0,0.9265266060829163,High
“اتمني لكم التوفيق وتحسين مستوي الاستقبال”. موقع الفندق. عند الوصول لم نجد اي شخص لحمل الحقائب وتم حملها بانفسناوعند الدخول لم نجد الا موظف استقبال واحد وكان الموظف ممتاز بتعامله معنا ولكن لا يوجد تعاون من قبل الموظفين المسئولين للاستعلام عن رقم الحجز وتم تاخيرنا ٣٥ دقيقه بسبب الموظفين الذين يتم الاستعلام منهم لرقم الحجز وعند سؤالنا ما هو سبب تاخير الموظفين فتم الاجابه بانهم لديهم وجبه عشاء ؟؟؟ وللعلم تم الاتصال عليهم عده مرات من قبل موظف الاستقبال ولكن اجابتهم كانت بطيئه بسبب وجبه العشاء وعند التاخير تسبب الاحراج لموظف الاستقبال وتم تقديم العصائر وهذا يشكر عليه,1,0,0.7666333317756653,Medium
“شابان عزاب”. اعجبني طبيعه المجمع مع الفندق. لا يوجد,1,0,0.984870195388794,High
“السعر مبالغ فيه”. . السعر لا يتناسب مع الغرف جدا عاديه وتحتاج تطوير,1,0,0.9773221015930176,High
“دبي”. المناظر داخل الفندق. خدمات الموظفين,1,0,0.8751873970031738,High
“لن اعود مره اخري”. حسن الاستقبال و الموقع Good reception and location. القيمه مبالغ فيها +المبالغه في اسعار العصيرات والماء من الكوفي شوب للغرف علما بان كاسات صغيره جدا مقابل القيمه +ارضيه الحمام زلقه جدا+السرير غير مريح بما يكفي +الشراشف غير جديده +الازعاج صباحا بتوزيع اوراق تنبيه الخروج مع طرق الباب من قبل العامل لاخبارك بموعد المغادره علما باني مسجل دخول الساعه 11.30مسا +عدم وجود الميني بار في الثلاجه + وقت الخروج باكرا الساعه 12 مساء Exaggerated value where + overstate the prices of juices and water from the coffee shops room note that the cups are very small compared to the value + bathroom floor very slippery + bed is comfortable enough + sheets new non- + hassle am distributing an alert out with a knock on the door leaves by working to inform you of the date of departure note that I logged in Massa 11.30 + lack of minibar in the fridge + early checkout time clock 12:00,1,0,0.976218581199646,High
“رحله مكرره”. موقع الفندق و الشاطئ ممتاز.,1,0,0.7894709706306458,Medium
