text,true_label,predicted_label,probability,confidence
“موظفي الاستقبال”. الافطار. لم اري اسوا من موظفي استقبالهم في اي فندق,1,0,0.9861873388290405,High
“الغرفه ضيقه”. . عدم وجود مساحه كافيه في الغرفه بختصار الغرفه ضيقه,1,0,0.9932044744491577,High
“التقيم جاني قبل مااجي ولكن ارتحتلكم جدا”. لحد الان ماشفت شي اذا جيت ان شاءالله. ماشفت شي للحين,1,0,0.9874115586280823,High
“فهد ابراهيم”. لا شيء. الانترنت سيء جدا,1,0,0.9971789121627808,High
“السعر غالي”. . السعو,1,0,0.9292160868644714,High
“يجب تغيير طاقم الاستقبال”. اعجبني الموقع. لم يعجبني معامله موظفي الاستقبال خلال تسجيل الدخول والخروج,1,0,0.9878365397453308,High
“الموقع فقط”. موقعه بجانب الحرم وقريب لمدخل النساءوالواي فاي مجاني. المواقف ليست مجانيه و المصاعد وقت الصلاه تاخذ وقت طويل حتي تركب فيها من كثره الزحام السعر في وقت الزحام غالي وجرس الحريق يشتغل في اوقات تزعجك من نومك بدون اي سبب,1,0,0.6402148604393005,Medium
“مواقفها خايسه وكثير علقو بوسطها وانا منهم وبصعوبه طلعت”. . مواقفها وفرض رسوم غير الاجار لسياره,1,0,0.998600423336029,High
“تجربه سيئه”. قربه من الجي بي ار. الاستقبال بطيء ويوجد موضف مصري في المسبح طلبت منه شيشه مع لي طبي طلب من بخشيش يقول قيمت لي الشيشه الطبي 25 درهم وعندما طلبت فاتوره قال هذا بدون فاتوره,1,0,0.9995774626731873,High
“يحب فلوس التامين و عدم اعادتها”. . سحب مال التامين و عدم اعادتها,1,0,0.9539245367050171,High
“فندق بدون انترنت نهائيا”. افطار منوع. عند وصولنا في ليله الحجز اخبرونا في الاستقبال ان خدمه الانترنت قد انتهي وقت استخدامها وتم اغلاقها. و اني اذا كنت محتاج للانترنت فيمكنني الذهاب للمقهي المجاور.. امر غريب جدا,1,0,0.945206880569458,High
