text,true_label,predicted_label,probability,confidence
“ساقيم فيه مره ثانيه”. . مان حجزنا جناح زاويه مع الاسف عندما وصلنا اخبرنا بان الجناح ليس جاهز للسكن بسبب اعمال صيانه,1,0,0.9524034857749939,High
“موظفي الاستقبال”. الافطار. لم اري اسوا من موظفي استقبالهم في اي فندق,1,0,0.9848810434341431,High
“الغرفه ضيقه”. . عدم وجود مساحه كافيه في الغرفه بختصار الغرفه ضيقه,1,0,0.9878677129745483,High
“التقيم جاني قبل مااجي ولكن ارتحتلكم جدا”. لحد الان ماشفت شي اذا جيت ان شاءالله. ماشفت شي للحين,1,0,0.9919118881225586,High
“فهد ابراهيم”. لا شيء. الانترنت سيء جدا,1,0,0.9992653727531433,High
“السعر غالي”. . السعو,1,0,0.9398989081382751,High
“يجب تغيير طاقم الاستقبال”. اعجبني الموقع. لم يعجبني معامله موظفي الاستقبال خلال تسجيل الدخول والخروج,1,0,0.993823766708374,High
“الموقع فقط”. موقعه بجانب الحرم وقريب لمدخل النساءوالواي فاي مجاني. المواقف ليست مجانيه و المصاعد وقت الصلاه تاخذ وقت طويل حتي تركب فيها من كثره الزحام السعر في وقت الزحام غالي وجرس الحريق يشتغل في اوقات تزعجك من نومك بدون اي سبب,1,0,0.9824526309967041,High
“مواقفها خايسه وكثير علقو بوسطها وانا منهم وبصعوبه طلعت”. . مواقفها وفرض رسوم غير الاجار لسياره,1,0,0.9781064987182617,High
“تجربه سيئه”. قربه من الجي بي ار. الاستقبال بطيء ويوجد موضف مصري في المسبح طلبت منه شيشه مع لي طبي طلب من بخشيش يقول قيمت لي الشيشه الطبي 25 درهم وعندما طلبت فاتوره قال هذا بدون فاتوره,1,0,0.9995657801628113,High
“يحب فلوس التامين و عدم اعادتها”. . سحب مال التامين و عدم اعادتها,1,0,0.9678872227668762,High
“فندق بدون انترنت نهائيا”. افطار منوع. عند وصولنا في ليله الحجز اخبرونا في الاستقبال ان خدمه الانترنت قد انتهي وقت استخدامها وتم اغلاقها. و اني اذا كنت محتاج للانترنت فيمكنني الذهاب للمقهي المجاور.. امر غريب جدا,1,0,0.946117103099823,High
“قريب من الحرم”. خدمات المطاعم في الفندق جيده. يوجد ازعاج بسبب وجود اعمال بناء بالقرب من الفندف ولا يوجد مواصلات للحرم من قبل الفندق,1,0,0.9287471771240234,High
“حامض حلو”. الفندق جديد وموقعه جيد. بركه السباحه صغيره ورديئه جدا الماء وسخ جدا جدا لهذا لن نستخدم المسبح ولن نستمتع برياضه السباحه,1,0,0.9949226975440979,High
“طلال”. الافطار. سعر الماكولات وخدمه النت,1,0,0.9538095593452454,High
“جميل متعب لكبار السن”. خدمات واستقبال ونظافه وقربه من الحرم بحد ذاته تكفي. الموقع سئ الوالد والوالده مره تعبوا المسافه للداخل بعيد لكبار السن لايوجد مواقف قضيه ارهقتني,1,0,0.8594740629196167,High
“عدم وجود الشيف”. . عدم توفر الشيف بالافطار,1,0,0.9430766105651855,High
“مقبول نوعا ما”. الاطلاله. الافطار سيء جدا,1,0,0.9186546802520752,High
“يحتاج تجديد”. الوصول للفندق صعب ويضيع شوي. الاكل في مطعم البويه. غالي مقابل لجوده الاكل والتنوع,1,0,0.9733207821846008,High
“جيد”. الموقع فقط. الغرفه من الطراز القديم لايوجد واي فاي بالغرف مجانا,1,0,0.9931145310401917,High
“يحتاج لبعض التعديلات خدمه الواي فاي تعيسه”. وجبه الافطار تحتاج الي بعض الاضافات. خدمه الواي فاي وجبه الافطار غير متنوعه مقارنه بالفنادق الاخري,1,0,0.9629275798797607,High
“طرشت الملح”. دخول الفندق سريع. تاخير في وصول السياره والسعر مبالغ فيه,1,0,0.9829778075218201,High
“فندق موقعه غلط”. الوايفاي مجانا بالغرف. موقع الفندق بعيد لازم تمشي مسافات بعيده لكل شي,1,0,0.9955736398696899,High
“منزلي الاخر في دبي دار الحي”. يا اخوان اقسم بالله العظيم ياذا الفندق انه شيء خيالي هذه المره الخامسه علي التوالي اجي فيه وما اندم ولا احس اني بفندق اشعر انني بين اهلي واصحابي وفي بيتي اللي بيجي هنا اقولك راح تلاقي راحه بال وخدمه وقرب خدمات والمترو والسينما وايضا مطاعم متوسطه المستوي بالحاره تفي غرضك اليومي وايضا متجر زوم قريب جدا وهو مشهور هناك كشهره متاجر ميد بالسعوديه وخدمته ٢٤ ساعه ويوفر لك كل حاجه - يخوان اكرر لكم ولمصلحتكم احجزوا فيه وانتم مغمضين .. فقط انتبهوا تسجلون دخول اخر الليل لان سياسه الفندق تقول تسجيل الدخول من ٢ الظهر يعني الحجز عندهم باليوم مو من ١٢ بالليل لا ابدا الحجز يبدا من ٢ الظهر كيوم جديد وارجوا الانتباه لهذه النقطه عشان لا تنحطون بمواقف محرجه وتنتظرون بالاستقبال لين تتوفر غرفه لكم .,1,0,0.9996111989021301,High
