text,true_label,predicted_label,probability,confidence
“بصراحه الفندق لايليق باسم الشيراتون صار لي خداع من قبل موقع booking”. افضل شئ بالفندق الموقع بس افضل موظف في الفندق الاستاذ/رمضان ثابت المدير المناوب من جانب الاستقبال والابتسامه التي لاتفارقه ومحاوله ارضاء جميع العملاء واجاد الحل المناسب للعملاء التي تواجههم المشاكل في الفندق وتم حل مشكلتي من قبل السيد/ رمضان ثابت باسمي اود ان اشكره علي حسن التعامل مع ومع عملاء اخرين. الاستقبال السئ من قبل فتاه سمره في الراسبشن وتعاملها معاي وكاني اشحذ منها,0,1,0.9869055151939392,High
“الفندق جيدجدا وقريب جدا من الحرم النبوي”. . التكييف بالغرفه غبر جيد,0,1,0.9159597158432007,High
“الفندق جميل جدا”. كل شي. عدم وجود مواقف السيارات,0,1,0.9922174215316772,High
“ممتازه”. ممتاز. يرجي زياده موظفي الاستقبال,0,1,0.9660694599151611,High
“الفندق جميل جدا. ..الخدمه. .الموظفين. .فوق الممتاز”. الفندق ممتاذ جدا.,0,1,0.9836192727088928,High
“سكني ب انتور”. . لم يتم توفير بطاقه الدخول للغرفه الا بعد يوم كامل اذا بغيت ادخل الغرفه انا واهلي يطلع معنا الهندي علشان يفتح الباب ببطاقه الماستر وحجتهم يقولون البطاقات خلصت انتظر لين يطلع واحد وناخذ بطاقته ونبرمجها علي غرفتك,0,1,0.9589293003082275,High
“الراحه النفسيه”. تعامل طاقم العمل الراقي. مواقف السيارات,0,1,0.9922565221786499,High
“كويس علي سعره لكن بعيد”. السعرالنت مقبولالمسبح والعاب الاطفالسعه الشقهكل غرفه حمام سوبر ماركت وصيدليه ومطعم تحت الفندقالمواقفالاطلالهالبلكونه. الموظفينالمناشفادوات الحمامالدش - الشاورالسرير مقبول وجيد مقابل السعر,0,1,0.982481837272644,High
“افضل فندق بالوقت الحالي”. . عدو وجود بعض المواد الاستهلاكيه منظف الاذان,0,1,0.9785988330841064,High
“مكان ممتع لجميع افراد الاسره”. حسن الاستقبال وهدوء المكان.. الشاليهات لا يوجد بها ادوات مطبخ وتحتاج الي صيانه دوريه.,0,1,0.9908938407897949,High
“السعر غالي”. موقع الفندق وفخامته. استخدام مصعديين للوصول لغرفتي,0,1,0.9802921414375305,High
“فرصه لي التحسين”. . اسلوب موظف الاستقبال غير لائق مع الزبائن,0,1,0.9563551545143127,High
“ليس فندق 5 نجوم”. توفر التاكسي للمطار..طاقم العمل جيد.توفر عدد من المصاعد.. لا يوجد كما في فنادق 5 نجوم من شاي وقهوه واكواب في الغرفه و مستلزمات الحمام غير كامله مثل معجون اسنان وفرشاه اسنان ونعال للحمام وغيره كما في فنادق 5 نجوم ؟؟؟يوجد باب مشترك لغرفتي كنت اسمع بعض الازعاج وحركات صوتيه من خلاله.,0,1,0.9479072093963623,High
“ممتعه”. فريق العمل متعاون جدا المنظر رائعتجهيزات الغرفه جدا ممتازه. خزانات الملابس تبع المسبح كانت جميعها مقلقه وتم اخباري بتسليمها لمشتركي الجيم مما يعني لامكان لوضع ملابسنا اثناء السباحه,0,1,0.9920457601547241,High
“حياه ريجينسي اسلوب حياه”. كان العشاء جميلا وكان الشيف نوبي ذو حبره عاليه في اعداد الطعام وكذلك الاستاذ محمد كرزازي متفاهم ومنفني جدا في تسيهيل العقبات فلهم كل الشكر حيث سهل. فقط اعطاء الضيف امكانيه تحويل نوع الوجبه الممنوحه له سواء من افطار الي عشاء اوغداء,0,1,0.9917762279510498,High
“شقق فندقيه”. شقق فندقيه يوجد كوفي خارجي تابع للشقق كما يوجد بجوار ها اسواق المزرعه يعتبر السكن بها معقول عزل الصوت ملاحظه مهمه لا يوجد بها عزل الصوت عند مروري بالشقق المجاوره تسمع الاصوات بوضوح ل. لا يوجد بها مناشف ولا صابون,0,1,0.9734096527099609,High
“فطور لا ينسي(:”. ١/ افطار الفندق كان رائع جدا جدا وهو عباره عن اكثر من بوفيه ومتنوع جدا وافضل من الفنادق المحيطه به كالفيرومنت٢/ وجود اله صنع القهوه بالغرفه. ١/ لايوجد مصلي خاص بالفندق بل عام لكل الوقف ٢/ لاتتوفر مواقف كافيه للسيارات,0,1,0.9905121922492981,High
“جميله نوعا ما”. الخصوصيه. نرجو الاهتمام بوسائل الترفيه في الشاطي الخاص بالنسبه للاطفالوالاهتمام بنظافه الشاطئ فذلك لايكلف سوي جهد بسيطوالاهتمام بتجديد الاثاث وتوفير وسائل راحه اكثر,0,1,0.948419451713562,High
“ممتازه”. فندق ممتاز موقع ممتاز كذلك كل شي يدعوك للحجز في هذا الفندق ،،، مع الشكر.,0,1,0.9813279509544373,High
“تجربه لن تكرر”. نظافه الغرفه والرائحه الزكيه والفخامه المتوسطه. بعيد عن الحرم تسجيل الدخول الساعه 4 و يعتبر متاخر مقارنه بالفنادق العالميه ومع ذلك لم تكن الغرفه جاهزه وتم الدخول 5 الاستقبال جدا جدا بطيء لا توجد عماله تخدم بالاضافه الي ان المواقف غير مشموله ويجب دفع 50 ريال لليوم لكل سياره وهذا غير عادل وايضا مدخل ومخرج المواقف من نفس البوابه و ضيق جدا,0,1,0.9157259464263916,High
“شكرا دلف”. القيمه الماليه للفندق جيده وقربه من الخدمات مثل السوبر ماركت وايضا الصيدله والمطاعم. عدم الاهتمام في النزيل الواي ضعيف جدا النظافه ليس ولا بد,0,1,0.9675672650337219,High
“جميل ورائع وممتاز”. كل شي تمام وافضل من التمام انصح به والاستقبال فيه شخص اسمه فؤاد ممتاز تعامله. كثره الارقام السريه للنت,0,1,0.9903613328933716,High
“جميله ليله للراحه قبل الرحله ولقربه من المطار”. جدا مريح ولذيذ اشكرك موظف الاستقبال الاخ المصري اعطاني ترفيع علي غرفه جدا فخمه فله كل الشكر والتقدير. كان فيه زواج لهنود في الدور الاخير وقليل من الازعاج,0,1,0.9890144467353821,High
“المكيف والسرير”. . اتجاه تبريد المكيف كان بعيد عن مكان السرير اضطررت لتحريك السرير الثقيل حتي اتمكن من النوم,0,1,0.9528079628944397,High
“....”. ............ .............,0,1,0.9625134468078613,High
“ممتعه”. كل شي. لا شي,0,1,0.9890389442443848,High
“جيد”. المنظر رائع. طاقم النظافه,0,1,0.8624718189239502,High
“رائع”. الموقع النظافه الهدوء . حسن الاستقبال نمن الموظف جورج . وبعض موظفين الاستقبال. ضعف النت .. . .,0,1,0.9903162121772766,High
“فندق جيد وانصح السكن فيه والخصوصيه موجوده”. مو قع الفندق وقربيه من المول وقصر الحمراواشكر قسم الاستقبال وبالاخص الموظفه كارلا الفلبينه لسرعتها في الخدمه. العفش قديم وعدم وجود جريده الصبح مثل الفنادق الثانيه ورسوم الانترنيت والفطور المكرره كل يوم,0,1,0.9734921455383301,High
“فندق”. الاستقبال جيد. انترنت لاويوجد,0,1,0.9436827301979065,High
“الموقع ممتازلقربه من منطقه البلدو اطلاله علي البحيره”. الموقع والسرير. النظافه,0,1,0.7349581122398376,Medium
