index,review,true_label,predicted_label,confidence,prob_negative,prob_positive,Noise Narrator 1,Noise Narrator 2
2304,“ممتاز”. I ts very good hotel and they have good team resption spetaily ( cristian ) she was very kind and helpful for us ... i suggest to visit it. فقط الصعود الي الطابق الثاني للاستعلامات,Negative,Positive,0.999712646,0.000287272,0.999712646,TRUE,TRUE
7774,“تمنيت انه يكون خيار ثاني!”. الفندق جديدالطاقم متعاونالاستقبال جيدالاثاث جيد. الفطور محدود جدا والاكل مافيه اجتهاد او يحمسكرائحه المطاعم وخاصه كنتاكي ملحوظه في الغرف ( سكنت بغرفتين ) وكلها نفس الريحه تجي احياناكان فيه مشكله بالكهرب وانطفا بالغرفه مافي خدمات قريبه مثل البقاله او مغسله ملابس كل القريب منك مطاعمالسعر مبالغ فيه مقابل الفندق وخدماتهمافيه مويا دافيه بالشور !ازعاج القطار احيانا عند المرورمافيه فرن او مكرويف او اي اداه تسخين غير الغلايه !,Negative,Positive,0.993153572,0.006846409,0.993153572,TRUE,FALSE
2650,“راقي وجميل”. اخذت غرفه فيها بلكونه لكن اثاثها جدا عادي واخذت الغرفه الاخري بدون بلكونه غرفه كلها قزاز علي البحر وبرج العرب اثاثه جميل جدا فاخر منتجع جميل جدااا. التشيك ان يتاخر من الزحمه,Negative,Positive,0.993027508,0.006972483,0.993027508,TRUE,TRUE
443,“حياه ريجينسي اسلوب حياه”. كان العشاء جميلا وكان الشيف نوبي ذو حبره عاليه في اعداد الطعام وكذلك الاستاذ محمد كرزازي متفاهم ومنفني جدا في تسيهيل العقبات فلهم كل الشكر حيث سهل. فقط اعطاء الضيف امكانيه تحويل نوع الوجبه الممنوحه له سواء من افطار الي عشاء اوغداء,Negative,Positive,0.991633534,0.008366445,0.991633534,TRUE,TRUE
6279,“فندق مريح ومميز”. الفندق كل شي فيه جميل ومميز.,Negative,Positive,0.990987003,0.009012952,0.990987003,TRUE,TRUE
7033,“فندق يستحق التجربه”. هدوء وراحه ونظافه وخدمه ممتازه ومواقف للسيارات وقيمه معقوله. لا شي,Negative,Positive,0.990746617,0.009253348,0.990746617,TRUE,TRUE
5643,“ساكرر السكن بهذا الفندق المويح”. كل شيء ممتاز الموقع من اقرب الفنادق للحرم الافطار متنوع تعامل الموظفين في تسجيل الدخول والخروج سرعه الاستجابه للطلبات. الدور الثالث كانت به اعمال صيانه رائحه غري وبويه والممرات بدون فرش,Negative,Positive,0.990707278,0.009292719,0.990707278,TRUE,TRUE
1346,“شكرا جزيلا”. قرب الموقع من الحرم والتعامل الطيف من موظفي الاستقبال واخص بالاستاذ / سالم الحربي بالمامه وارشاده لنا باسلوب راقي جدا شكرا لكل القائمين علي راحه المسلمين.,Negative,Positive,0.990357578,0.009642455,0.990357578,TRUE,TRUE
5558,“لا يوجد”. فقط لقربه من الحرم ومعامله طاقم العمل الممتازه 👍. سجاد الغرفه متسخ الحمام صغير المناشف باليه لا يوجد عازل الصوت بين الغرفه والغرفه التي بجانبها لدرجه اذا عطس جارك ترد عليه رحمك الله ياهذا كانه بجانبك وهذا من السلبيات الكبيره تحياتي .,Negative,Positive,0.990061045,0.00993898,0.990061045,FALSE,FALSE
9781,“اقامت لم تكن جيده في هذه الشقق”. الشباب السعودي بالاستقبال جميعهم بلا استثناء قمه الرقي والاخلاق الحرص منهم علي راحتك وجود المطاعم اسفل الشقق. دوره المياه شبه متهالكه السرير والمخدات سيئهالتلفزيونات,Negative,Positive,0.990054846,0.009945138,0.990054846,FALSE,FALSE
7631,“مريح”. الموقع امام المارينا مباشرهتعامل ممتاز من العاملين بالفندققريب من الفندق سوبرماركت كارفور وصيدليه ومستشفي النت ممتاز. بعض الغرف تحتاج الي تعديل في الاصباغ,Negative,Positive,0.990024686,0.009975355,0.990024686,TRUE,TRUE
3688,“حيث الراحه والهدوء والروحانيه”. الافطار المجاني / استقبال الموظف حاتم. المواقف / توقف بعض المصاعد عن العمل / عدم وجود ملامع احذيه/ اصوات بالغرف المجاوره.,Negative,Positive,0.989830792,0.010169235,0.989830792,TRUE,TRUE
311,“الراحه النفسيه”. تعامل طاقم العمل الراقي. مواقف السيارات,Negative,Positive,0.989797056,0.010202947,0.989797056,TRUE,TRUE
6946,“رحله جميله ووممتعه”. هدوء المكان ونظافه الغرفه وحجمها مناسب. موقع الفندق,Negative,Positive,0.989787459,0.010212525,0.989787459,TRUE,TRUE
9771,“الراحه والموقع”. كل شي اعجبني فندق ممتاز وعائلي. تم اخذ مبلغ غير سعر الغرفه مع الضريبه وعند سؤال موظفه الاستقبال اجابه في برج العرب يتم اخذ خمسين درهم زياده ونحن فندق نعتبر من الفنادق الضخمه في دبي وبعد المجادله تم خصم المبلغ التي كان سايخذ من دون وجه حق,Negative,Positive,0.989533365,0.010466597,0.989533365,TRUE,TRUE
1644,“اقامه جدا جميله في هذا الفندق”. اكل الفندق لذيذ الموظفين راقيين الراحه والهدوء. لايوجد,Negative,Positive,0.989527225,0.010472811,0.989527225,TRUE,TRUE
3689,“روحانيه الاقامه وروعه المشاعر”. كل شيء كان اكثر من رائع. لاشيء,Negative,Positive,0.98941958,0.010580393,0.98941958,TRUE,TRUE
1243,"“اعجبني”. سرعه انهاء اجراءات الدخول والخروج ، سرعه التجاوب خدمه السيرفس. الحمامات اعزكم الله لايوجد بها شطاف ، وايضا المشروبات الكحوليه في الثلاجه ، يوجد مطعم موال فيه راقصه",Negative,Positive,0.989393353,0.010606647,0.989393353,TRUE,FALSE
8151,“فن”. الفندق ممتاز والموظفين اكثر من رائعين.,Negative,Positive,0.98936069,0.010639388,0.98936069,TRUE,TRUE
7731,“احتفل بعيد زواجك في فندق كراون ممتع”. اعجبني كل ما في هذا الفندق قريب من ياس مول وعالم فراري والحديقه المائيه. لا شي يذكر,Negative,Positive,0.989356697,0.010643273,0.989356697,TRUE,TRUE
9155,“لا باس”. كل شيء تقريبا جميل. الموااااقف ﻻ يوجد مواااقف نهائياوايضا موقع الفندق حوله تحويلات من جميع الاتجاهات مشوار ساعه تاخذه في 3 ساعات,Negative,Positive,0.989300787,0.010699227,0.989300787,TRUE,TRUE
775,“جميل ورائع وممتاز”. كل شي تمام وافضل من التمام انصح به والاستقبال فيه شخص اسمه فؤاد ممتاز تعامله. كثره الارقام السريه للنت,Negative,Positive,0.989091337,0.010908643,0.989091337,TRUE,TRUE
4903,“من افضل اماكن الاقامه”. تعامل الموظفين اكثر من رائع.,Negative,Positive,0.98907882,0.010921169,0.98907882,TRUE,TRUE
8088,“المسافر راااح”. الموقعالمسجد قريبالنت ممتازالدش قوي وممتازه. اسلوب الخدمهالفرش جدا ناسخالاثاث مستهلكطلب قرض رسوم بمبلغ 100 لليوم مقابل توفير مفرش اضافي الاطفالالافيااش ثنائي فقطعدم تصريف المياه بدورات المياه اثناء الاستحمام الا بشكل ضعيفمواقف السيارات ضيقه جدا بالبدروم,Negative,Positive,0.989009082,0.010990955,0.989009082,TRUE,FALSE
6653,“كل شي قريب منك”. موقع الفندق من الحرم وفيه سوق وسوبر ماركت ف الدور اللي تحت وفي مطاعم تحتك وفي سوق يعني كل شي جريب منك مايحتاي تسير بعيد اذا تبا شي. لا شئ,Negative,Positive,0.988988817,0.011011136,0.988988817,TRUE,TRUE
5066,“ضيوف الرحمن لهم كل الود والاحترام”. الغرفه واسعه والاطلاله علي الكعبه تجربه ممتازه. ١- كنت واقف بالصف عند احد موظفي الاستقبال عند تسجيل الدخول تركني وذهب الي زبون اخر فقلت له لايحق لك تجاوزي والدهاب الي زبون اخرقال لي الموظف اذهب الي موظف استقبال اخر لاني لن اخدمكناسف علي وجود مثل هذا الموظف اللذي لم يحترم زبون فنادق ال 5 نجوم٢- الحمام في الصاله في غرفه رقم ٣٠١٢ يطفح الماء فوق البلاط لان السرميك اعلي من فتحه تصريف الماء,Negative,Positive,0.988821387,0.011178628,0.988821387,TRUE,FALSE
5773,“راحه متعه”. الموقع تعامل العاملين في الفندق. الافطار,Negative,Positive,0.98861593,0.011384077,0.98861593,TRUE,TRUE
109,“الفندق جميل جدا”. كل شي. عدم وجود مواقف السيارات,Negative,Positive,0.988534033,0.011465948,0.988534033,TRUE,TRUE
3999,“الفندق بهذه المواصفات مقارنه بالسعر ممتاز”. كافه الخدمات متاحه مع النظافه و الهدوء و الباركنج.,Negative,Positive,0.98848778,0.011512219,0.98848778,TRUE,TRUE
6265,“راحه الضيف”. سرعه المعاملات ونظافه الغرف والخدمه واحترام الضيف ممتازه.,Negative,Positive,0.988463938,0.011536091,0.988463938,TRUE,TRUE
1229,“قضينا يوم جميل ولله الحمد”. الشاطئ الخاص جدا جميل - بوفيه الافطار منوع- الفيلا الملكي انظف من الشاليهات الاخري من حيث مستوي النظافه والاثاثالجلسات الخارجيه للحدائقالنادي الخاص للنساء. كان لنا حجزان للفيلا الملكي ولشاليه بشاطئ خاص شتان بينهما الشاليه يحتاج الي النظافه النظافه النظافه والامر المزعج عند وصولنا لم يكن الشاليه جاهز علما باننا وصلنا متاخر وكانت حجتهم المستاجر اللي قبلنا لم يخرج ف الموعد المحدد ف انتظرنا قرابه الساعه لتنظيفها,Negative,Positive,0.988450766,0.011549224,0.988450766,TRUE,TRUE
494,“فطور لا ينسي(:”. ١/ افطار الفندق كان رائع جدا جدا وهو عباره عن اكثر من بوفيه ومتنوع جدا وافضل من الفنادق المحيطه به كالفيرومنت٢/ وجود اله صنع القهوه بالغرفه. ١/ لايوجد مصلي خاص بالفندق بل عام لكل الوقف ٢/ لاتتوفر مواقف كافيه للسيارات,Negative,Positive,0.988200068,0.011799946,0.988200068,TRUE,TRUE
9405,“كل شيء جميل مقابل القيمه الماديه”. اتقدم بجزيل الشكر لموظفه خدمه العملاء lirenaعلي كل ما قامت به من خدمه.,Negative,Positive,0.988181114,0.011818923,0.988181114,TRUE,TRUE
407,“ممتعه”. فريق العمل متعاون جدا المنظر رائعتجهيزات الغرفه جدا ممتازه. خزانات الملابس تبع المسبح كانت جميعها مقلقه وتم اخباري بتسليمها لمشتركي الجيم مما يعني لامكان لوضع ملابسنا اثناء السباحه,Negative,Positive,0.987806857,0.012193145,0.987806857,TRUE,TRUE
9319,"“فندق متميز”. كان السرير مريحا، والمكيف جميلا، وكان استقبال الفندق رائعا. الاتصال بالانترنت يمكن ان يكون افضل.سكنت في غرفه علي المنور وكان صوت الاجهزه عاليا فتم تغيير الغرفه الي غرفه علي الشارع",Negative,Positive,0.987728477,0.012271513,0.987728477,TRUE,TRUE
3419,“اقامه جميله .. تستاهل التكرار”. المرافق المتوفره جميله ومتنوعه. اسعار الروم سيرفس غاليه جدا .. الانترنت المدفوع بالغرف ايضا,Negative,Positive,0.987636745,0.012363315,0.987636745,TRUE,TRUE
9698,“تجربه تستحق التكرار”. التصميم .. النظافه.. رائحه العطر من دخولك الفندق حاي الغرفه. الموقع بشارع مزدحم,Negative,Positive,0.987559497,0.012440512,0.987559497,TRUE,TRUE
7590,"“انصح الجميع بتجربه الاقامه بالفندق و التمتع بالخدمات التي يقوم بها”. موقع الفندق ممتاز و تصميمه الداخلي والخارجيا يوحي بالاناقه ، الخدمه و النظافه ممتازه ايضا مقابل المال الذي يدفع فيه. يجب ان يقوم الفندق بعمل خطه لتجديد اثاثه و اضفاء روح جذابه فيه",Negative,Positive,0.987509727,0.012490253,0.987509727,TRUE,TRUE
10437,“القرب من الحرم النبوي”. الراحه القريبه من الحرم.,Negative,Positive,0.987434804,0.012565197,0.987434804,TRUE,TRUE
